GeneID	Muscle_GC	Muscle_MG
ENSMUSG00000000001.4	253,403,203	227,245,220
ENSMUSG00000000003.15	0,0,0	0,0,0
ENSMUSG00000000028.15	24,7,4	14,21,13
ENSMUSG00000000031.16	1281,155,1369	1433,2630,2969
ENSMUSG00000000037.16	3,23,7	0,0,8
ENSMUSG00000000049.11	8,0,6	2,1,3
ENSMUSG00000000056.7	323,146,347	104,218,293
ENSMUSG00000000058.6	416,301,203	128,178,287
ENSMUSG00000000078.7	620,701,397	696,747,696
ENSMUSG00000000085.16	168,137,150	137,156,145
ENSMUSG00000000088.7	594,69,679	796,1207,1179
ENSMUSG00000000093.6	111,110,91	72,89,170
ENSMUSG00000000094.12	17,85,26	19,24,12
ENSMUSG00000000103.12	0,0,0	0,0,0
ENSMUSG00000000120.6	23,0,17	7,1,13
ENSMUSG00000000125.5	0,0,0	0,0,0
ENSMUSG00000000126.11	84,382,121	224,280,227
ENSMUSG00000000127.15	141,133,114	99,95,115
ENSMUSG00000000131.15	276,309,214	229,205,259
ENSMUSG00000000134.17	161,234,94	124,169,118
ENSMUSG00000000142.15	154,224,137	143,161,118
ENSMUSG00000000148.17	106,134,66	62,83,78
ENSMUSG00000000149.10	463,489,441	472,740,634
ENSMUSG00000000154.16	1,10,15	0,1,1
ENSMUSG00000000157.16	0,0,0	0,0,0
ENSMUSG00000000159.16	0,0,0	1,0,3
ENSMUSG00000000167.14	1,0,0	2,0,0
ENSMUSG00000000168.9	602,257,781	1205,1473,1584
ENSMUSG00000000171.5	499,145,597	708,1021,893
ENSMUSG00000000182.9	0,0,0	0,0,0
ENSMUSG00000000183.6	58,0,122	34,35,29
ENSMUSG00000000184.12	633,1301,685	350,454,360
ENSMUSG00000000194.13	298,353,362	273,320,290
ENSMUSG00000000197.8	45,334,57	23,24,9
ENSMUSG00000000202.9	2,0,0	1,1,1
ENSMUSG00000000204.16	1,2,0	23.93,5.22,5
ENSMUSG00000000214.11	0,0,0	6,0,1
ENSMUSG00000000215.11	0,0,0	0,0,0
ENSMUSG00000000216.8	0,0,0	0,0,0
ENSMUSG00000000223.13	699,116,96	169,87,86
ENSMUSG00000000244.17	2,23,0	9,3,1
ENSMUSG00000000247.11	8,5,13	4,3,4
ENSMUSG00000000248.16	0,0,0	0,0,0
ENSMUSG00000000253.13	203,2,192	152,200,223
ENSMUSG00000000263.15	0,0,0	0,0,0
ENSMUSG00000000266.11	136,175,85	64,112,160
ENSMUSG00000000275.16	279,303,184	147,159,178
ENSMUSG00000000276.11	137,91,145	48,68,90
ENSMUSG00000000278.10	187,566,170	149,205,98
ENSMUSG00000000282.12	177,353,115	143,127,131
ENSMUSG00000000290.13	49,96,51	160,136,117.77
ENSMUSG00000000295.13	38,8,22	14,15,19
ENSMUSG00000000296.8	70,12,62	39,61,66
ENSMUSG00000000301.16	7,5,6	5,9,6
ENSMUSG00000000303.12	49,0,0	6,0,0
ENSMUSG00000000305.12	13,22,3	3,7,4
ENSMUSG00000000308.14	4,0,0	1,0,0
ENSMUSG00000000317.11	52,46,60	136,131,100
ENSMUSG00000000318.16	45.55,74.48,23.74	26.13,37.6,42.47
ENSMUSG00000000320.10	38,76,147	16,52,58
ENSMUSG00000000325.16	150,219,154	129,151,123
ENSMUSG00000000326.13	207,352,215	263,329,338
ENSMUSG00000000339.14	66,71,99	85,117,165
ENSMUSG00000000340.10	143,282,82	83,93,128
ENSMUSG00000000346.9	463,460,405	350.68,456,391
ENSMUSG00000000355.13	22,26,19	55,55,66
ENSMUSG00000000359.3	62,77,49	49,39,43
ENSMUSG00000000365.9	0,1,0	0,0,0
ENSMUSG00000000374.8	421,239,339	395,629,532
ENSMUSG00000000378.15	105,173,163	148,246,220
ENSMUSG00000000381.10	0,0,0	0,0,0
ENSMUSG00000000384.15	160,64,187	300,358,400
ENSMUSG00000000385.8	0,0,0	0,2,0
ENSMUSG00000000386.15	2.18,0,0	5,4,11
ENSMUSG00000000392.17	31,247,50	38,59,53
ENSMUSG00000000394.15	0,0,0	0,0,0
ENSMUSG00000000399.10	540,162,572	598,798,798
ENSMUSG00000000402.2	27,19,40	5,9,0
ENSMUSG00000000409.14	0,5,0	2,1,1
ENSMUSG00000000411.7	1,0,0	0,0,0
ENSMUSG00000000416.16	58,15,11	17,7,2
ENSMUSG00000000420.15	421,476,386	486,583,621
ENSMUSG00000000435.1	0,0,3	24,18,34
ENSMUSG00000000439.9	212,177,175	188,220,221
ENSMUSG00000000440.12	149,205,112	35,56,56
ENSMUSG00000000441.17	571,377,713	576,774,728
ENSMUSG00000000486.13	0,20,11	2,3,7
ENSMUSG00000000489.7	382,224,259	760,819,719
ENSMUSG00000000530.16	394,582,280	232,286,268
