ensembl_id	gene_name	chr	start	end	score	strand	frame	gene_type	transcript_id.s.	GC1|expected_count	GC2|expected_count	GC3|expected_count	MG1|expected_count	MG2|expected_count	MG3|expected_count	GC1|TPM	GC2|TPM	GC3|TPM	MG1|TPM	MG2|TPM	MG3|TPM	GC1|FPKM	GC2|FPKM	GC3|FPKM	MG1|FPKM	MG2|FPKM	MG3|FPKM
ENSMUSG00000000001.4	Gnai3	chr3	108107280	108146146	.	-	.	protein_coding	ENSMUST00000000001.4	253	403	203	227	245	220	6.2	9.65	4.3	7.96	7.55	6.81	12.82	19.23	9.76	11.18	11.19	9.02
ENSMUSG00000000003.15	Pbsn	chrX	77837901	77853623	.	-	.	protein_coding	ENSMUST00000000003.13,ENSMUST00000114041.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028.15	Cdc45	chr16	18780447	18811987	.	-	.	protein_coding	ENSMUST00000000028.13,ENSMUST00000096990.9	24	7	4	14	21	13	0.93	0.27	0.17	0.83	1.12	0.8	1.92	0.53	0.38	1.16	1.66	1.05
ENSMUSG00000000031.16	H19	chr7	142575529	142578143	.	-	.	lincRNA	ENSMUST00000136359.7	1281	155	1369	1433	2630	2969	46.22	5.47	42.68	73.73	118.87	134.92	95.53	10.89	96.94	103.6	176.2	178.63
ENSMUSG00000000037.16	Scml2	chrX	161117193	161258213	.	+	.	protein_coding	ENSMUST00000019101.10,ENSMUST00000074802.11,ENSMUST00000077375.4,ENSMUST00000087090.9,ENSMUST00000101113.8,ENSMUST00000112345.7	3	23	7	0	0	8	0.07	0.61	0.17	0	0	0.23	0.14	1.22	0.38	0	0	0.31
ENSMUSG00000000049.11	Apoh	chr11	108343354	108414396	.	+	.	protein_coding	ENSMUST00000000049.5	8	0	6	2	1	3	0.61	0	0.4	0.22	0.1	0.29	1.27	0	0.9	0.3	0.14	0.38
ENSMUSG00000000056.7	Narf	chr11	121237253	121255856	.	+	.	protein_coding	ENSMUST00000103015.3	323	146	347	104	218	293	5.77	2.55	5.35	2.66	4.9	6.62	11.93	5.08	12.16	3.74	7.27	8.77
ENSMUSG00000000058.6	Cav2	chr6	17281185	17289115	.	+	.	protein_coding	ENSMUST00000000058.6,ENSMUST00000115459.1,ENSMUST00000115462.1	416	301	203	128	178	287	14.89	12.47	5.63	7.64	11.1	10.91	30.78	24.85	12.78	10.73	16.45	14.45
ENSMUSG00000000078.7	Klf6	chr13	5861482	5870394	.	+	.	protein_coding	ENSMUST00000000080.7	620	701	397	696	747	696	11.55	12.75	6.39	18.56	17.52	16.39	23.86	25.41	14.5	26.07	25.96	21.7
ENSMUSG00000000085.16	Scmh1	chr4	120405281	120530186	.	+	.	protein_coding	ENSMUST00000000087.12,ENSMUST00000064991.12,ENSMUST00000106298.9,ENSMUST00000106301.7	168	137	150	137	156	145	4.04	3.19	3.23	5.09	4.67	5.53	8.36	6.35	7.33	7.15	6.92	7.33
ENSMUSG00000000088.7	Cox5a	chr9	57521274	57532426	.	+	.	protein_coding	ENSMUST00000000090.7	594	69	679	796	1207	1179	103.71	11.85	102.85	192.12	253.71	251.07	214.34	23.61	233.6	269.93	376.06	332.42
